epoch,ptl/val_loss,step,train_loss_epoch,train_loss_step,valid_loss
0,,0,1.3258963823318481,,
1,,1,1.1684520244598389,,
2,,2,3.313647985458374,,
3,,3,1.062391996383667,,
4,0.2671997845172882,4,,,0.2671997845172882
4,,4,1.0899856090545654,,
5,,5,3.3614041805267334,,
6,,6,1.260069727897644,,
7,,7,1.6542081832885742,,
8,,8,1.1340595483779907,,
9,0.25068923830986023,9,,,0.25068923830986023
9,,9,2.482935667037964,,
10,,10,2.5125977993011475,,
11,,11,1.8480709791183472,,
12,,12,0.8600842952728271,,
13,,13,1.738950490951538,,
14,0.24638822674751282,14,,,0.24638822674751282
14,,14,2.011749505996704,,
15,,15,0.907397985458374,,
16,,16,1.1711642742156982,,
17,,17,1.499086856842041,,
18,,18,0.9698501825332642,,
19,0.23901903629302979,19,,,0.23901903629302979
19,,19,1.81109619140625,,
20,,20,1.6916934251785278,,
21,,21,1.7631908655166626,,
22,,22,1.9811540842056274,,
23,,23,0.8777888417243958,,
24,0.24735896289348602,24,,,0.24735896289348602
24,,24,1.070273995399475,,
25,,25,1.9409924745559692,,
26,,26,0.8578996062278748,,
27,,27,1.4204143285751343,,
28,,28,1.5143635272979736,,
29,0.24279308319091797,29,,,0.24279308319091797
29,,29,1.1477301120758057,,
30,,30,1.0254936218261719,,
31,,31,1.4220670461654663,,
32,,32,0.8101584315299988,,
33,,33,1.3114737272262573,,
34,0.23557376861572266,34,,,0.23557376861572266
34,,34,0.9677170515060425,,
35,,35,0.7710539698600769,,
36,,36,1.5559000968933105,,
37,,37,1.6690064668655396,,
38,,38,1.7094868421554565,,
39,0.23555490374565125,39,,,0.23555490374565125
39,,39,0.8997170925140381,,
40,,40,1.2116596698760986,,
41,,41,1.766100525856018,,
42,,42,0.7765613794326782,,
43,,43,0.9568541049957275,,
44,0.23220179975032806,44,,,0.23220179975032806
44,,44,1.3795266151428223,,
45,,45,1.5712368488311768,,
46,,46,2.0259227752685547,,
47,,47,0.776928186416626,,
48,,48,1.3328642845153809,,
49,,49,,0.9934911727905273,
49,0.23071596026420593,49,,,0.23071596026420593
49,,49,0.9934911727905273,,
50,,50,1.4048724174499512,,
51,,51,1.654369831085205,,
52,,52,1.4704567193984985,,
53,,53,0.9391202926635742,,
54,0.22894854843616486,54,,,0.22894854843616486
54,,54,0.8796349763870239,,
55,,55,1.4010233879089355,,
56,,56,0.7985586524009705,,
57,,57,0.7100512385368347,,
58,,58,1.0933079719543457,,
59,0.23365424573421478,59,,,0.23365424573421478
59,,59,0.7242222428321838,,
60,,60,1.1217856407165527,,
61,,61,1.1584945917129517,,
62,,62,0.8318648934364319,,
63,,63,0.9408607482910156,,
64,0.22780847549438477,64,,,0.22780847549438477
64,,64,1.1758939027786255,,
65,,65,1.1690839529037476,,
66,,66,1.5268319845199585,,
67,,67,0.7603916525840759,,
68,,68,2.557638168334961,,
69,0.22210688889026642,69,,,0.22210688889026642
69,,69,1.63235604763031,,
70,,70,1.855403184890747,,
71,,71,1.4826688766479492,,
72,,72,1.272242784500122,,
73,,73,0.7304153442382812,,
74,0.23000657558441162,74,,,0.23000657558441162
74,,74,1.1256922483444214,,
75,,75,1.2084547281265259,,
76,,76,3.2035999298095703,,
77,,77,3.1942427158355713,,
78,,78,3.0608816146850586,,
79,0.22294461727142334,79,,,0.22294461727142334
79,,79,2.6531152725219727,,
80,,80,1.78214430809021,,
81,,81,0.6925252676010132,,
82,,82,2.1247072219848633,,
83,,83,2.317072629928589,,
84,0.21245773136615753,84,,,0.21245773136615753
84,,84,0.9462124705314636,,
85,,85,1.8450136184692383,,
86,,86,3.3285560607910156,,
87,,87,0.6825746893882751,,
88,,88,2.319458484649658,,
89,0.2219475954771042,89,,,0.2219475954771042
89,,89,1.4419984817504883,,
90,,90,1.2936971187591553,,
91,,91,1.385007381439209,,
92,,92,1.4698233604431152,,
93,,93,2.2208309173583984,,
94,0.22639703750610352,94,,,0.22639703750610352
94,,94,0.6980316042900085,,
95,,95,0.6482883095741272,,
96,,96,1.3192024230957031,,
97,,97,2.2491137981414795,,
98,,98,1.1269577741622925,,
99,,99,,1.325095295906067,
99,0.2255295068025589,99,,,0.2255295068025589
99,,99,1.325095295906067,,
