epoch,ptl/val_loss,step,train_loss_epoch,valid_loss
0,,0,2.215900182723999,
1,,1,58.458072662353516,
2,,2,3.878166675567627,
3,,3,31.66740608215332,
4,0.08220301568508148,4,,0.08220301568508148
4,,4,11.349627494812012,
5,,5,5.953245162963867,
6,,6,7.828329563140869,
7,,7,29.968183517456055,
8,,8,12.671531677246094,
9,0.1208561360836029,9,,0.1208561360836029
9,,9,14.31415843963623,
10,,10,24.504743576049805,
11,,11,11.720515251159668,
12,,12,13.494303703308105,
13,,13,8.42418384552002,
14,0.12067840993404388,14,,0.12067840993404388
14,,14,12.48121452331543,
15,,15,12.692499160766602,
16,,16,8.426361083984375,
17,,17,26.451391220092773,
18,,18,11.04279613494873,
19,0.12074568122625351,19,,0.12074568122625351
19,,19,9.41452407836914,
20,,20,15.802414894104004,
21,,21,2.791621446609497,
22,,22,3.6788198947906494,
23,,23,4.981830596923828,
24,0.1020122691988945,24,,0.1020122691988945
24,,24,6.439283847808838,
25,,25,1.4864623546600342,
26,,26,11.598207473754883,
27,,27,15.899391174316406,
28,,28,15.471707344055176,
29,0.09919504076242447,29,,0.09919504076242447
29,,29,5.3488593101501465,
